ReportNo	DocType	ReportName	Description	StoredProcName	DatasetUserName
101	7	SPECIFICATION_PROD_VER3.fr3	Spec på engelska med producent	dbo.vida_PopulateSpectable_II_FR	DS_MAIN
102	7	SPEC_ACT_VER3.fr3	Spec på engelska med bara aktuell dimension, inte nominell	dbo.vida_PopulateSpecTable_II_FR	DS_MAIN
104	7	SPECIFICATION_IDAHO_VER3.fr3	Spec USA anpassad (paket med paketnr)	dbo.vida_PopulateSpectable_II_FR	DS_Main
105	7	SPEC_NOPKGNO.VER3.fr3	Spec USA anpassad (paket utan paketnr)	dbo.vida_PopulateSpectable_II_FR	DS_MAIN
106	2	FAKTURA_SV_VER3_utanLängd_tvådec.fr3	Faktura på svenska utan längd och med två decimaler i volym	dbo.vis_INVOICE	DS_MAIN
107	2	FAKTURA_ENG_PKTTYP_VER3_Larmak.fr3	Faktura till usa, ej delad på lo	dbo.vis_INVOICE	DS_MAIN
108	20	AORES01.fr3	Resultat av körning	dbo.Vis_AORes	DS_MAIN
110	22	VerkGradRapport.fr3	Verkningsgrad rapport	dbo.vis_verkGradHuvud	DS_MAIN
111	2	FAKTURA_ENG_längd_plus_NM3_NOTE_VTA.fr3	Faktura VTA	dbo.vida_INVOICE	DS_MAIN
288	598	CONTRACT_NOTE_SV.fr3	Kontrakt engelsk version	dbo.vida_KONTRAKT_FR	DS_MAIN
289	3	LASTORDER_VERK_NOTE_ver3.fr3	Lastorder	dbo.vis_LO_VERK_v3_FR	DS_MAIN
290	3	LASTORDER_VERK_NOTE_STATUS_ver3.fr3	Lastorder	dbo.vis_LO_VERK_v3_FR	DS_MAIN
291	535	LASTORDER_INKOP_NOTE_STATUS_ver2.fr3	Lastorder	dbo.vida_LO_STATUS_v2	DS_MAIN
294	610	LASTORDER_INKOP_NOTE_dk_eng.fr3	Lastorder	dbo.vida_LO	DS_MAIN
295	609	LASTORDER_INKOP_NOTE_dk.fr3	Lastorder	dbo.vida_LO	DS_MAIN
296	586	AVROPSORDER_INKOP_NOTE_STATUS_ver2.fr3		dbo.vida_Avrop_STATUS_v2	DS_MAIN
297	619	TRP_AVROPSORDER_INKOP_NOTE_STATUS.fr3		dbo.vida_TRP_AVROPSORDER_STATUS	DS_MAIN
298	625	TRP_AVROPSORDER_INKOP_NOTE_dk.fr3		dbo.vida_TRP_AVROPSORDER	DS_MAIN
299	585	AVROPSORDER_INKOP_NOTE_dk_ver2.fr3		dbo.vida_AVROP_v2	DS_MAIN
303	533	KONTRAKT_IP_PI_NOTE_sv.fr3	Kontrakt sv	dbo.vida_KONTRAKT_ip	DS_MAIN
308	627	CONTRACTProdInstru_NOTE_LENA_ENG.fr3	Kontrakt engelsk version	dbo.vida_KONTRAKT_ver2_FR	DS_MAIN
309	627	CONTRACTProdInstru_NOTE_LENA_SV.fr3	Kontrakt engelsk version	dbo.vida_KONTRAKT_ver2_FR	DS_MAIN
313	1001	Lev_Kontrakt.fr3	Kontrakt engelsk version	dbo.Vida_ShipPerOrd	DS_MAIN
314	588	Lev_Kontrakt_with_Avrop.fr3	Kontrakt engelsk version	dbo.Vida_ShipPerOrd	DS_MAIN
315	8	Kundetiketter_III.fr3	Kontrakt engelsk version	dbo.vida_KUNDLISTA_II	DS_MAIN
316	626	OrderPreCalc.fr3	Kontrakt engelsk version	dbo.vis_OrderPreCalc	DS_MAIN
317	637	PkgCodes.fr3	Kontrakt engelsk version	dbo.VIS_PrintPkgCodes	DS_MAIN
318	617	USContractBL.fr3	Kontrakt engelsk version	dbo.vida_KONTRAKT	DS_MAIN
319	8	WM_PrisLista.fr3	Kontrakt engelsk version	dbo.Vis_PrislistaRpt	DS_MAIN
502	621	AVROPSORDER_NOTE_STATUS_ver3_ENG.fr3	Avrop	dbo.vis_Avrop_STATUS_v3_FR	DS_MAIN
503	623	AVROPSORDER_NOTE_ver2_ENG.fr3		dbo.vida_AVROP_v2_FR	DS_MAIN
504	106	TRP_AVROPSORDER_NOTE_STATUS_ENG.fr3	Trporder avrop försäljning	dbo.vida_TRP_AVROPSORDER_STATUS_FR	DS_MAIN
505	624	TRP_AVROPSORDER_NOTE_ENG.fr3	Trporder avrop försäljning	dbo.vida_TRP_AVROPSORDER_FR	DS_MAIN
